"","pID","eID","oID","internalID","Effect description","origDirection","repDirection","origN","repN","testReported","What statistical test was reported?","Statistical test applied to original data","Original test statistic type","Original test statistic value","origdf1","origdf2","origPval","Replication statistical test","Replication test statistic type","Replication test statistic value","repdf1","repdf2","repPval","Was original data representative?","origRawDiff","repRawDiff","Replication raw difference type (mean or median)","Replication raw difference lower CI","Replication raw difference upper CI","EStype","origES","origESLo","origESHi","repES","repESLo","repESHi","Meta-analysis effect size","Meta-analysis lower CI","Meta-analysis upper CI","Meta-analysis p value","Notes.x","Original paper figure","Was experiment originally identified by RP:CB team","Did experiment continue after sharing with labs (before submitting protocol to eLife)","Did the experiment protocol get submitted to eLife","Did the experiment get accepted and published in eLife","Clarifications asked of original authors","responseQuality","Data shared by original authors","Code shared by original authors","materialsRequested","Key materials offered to be shared","Key materials shared","expType","Number of lab(s) contracted for the experiment","labsContracted","Registered Report protocol","Experiment description","Replication experiment attempted","Replication experiment completed","If experiment incomplete, why?","Changes needed during experimentation?","changesNeededProse","Changes able to be implemented during experimentation?","If modifications unable to be fully implemented, why?","Replication study figure","Were materials shippped between replicating labs?","If a material was shipped between replicating labs, what was it?","What types of experimental techniques were utilized?","Was the original experiment blinded?","Was the replication experiment blinded?","Was the original experiment randomized?","Was the replication experiment randomized?","Was the original experiment sample size determined a priori?","Was the replication experiment sample size determined a priori?","Was a statistical test reported in the original paper?.y","What statistical test(s) was reported?","Was variation of biological repeats reported in the original experiment?","Notes.y","Original paper title","Year","Original paper journal","Number of original authors","Anticipated budget when replication design originally identified by RP:CB team","Anticipated budget when Registered Report manuscript ready for submission to eLife","Anticipated budget when Registered Report accepted and published in eLife","Actual budget at completion of replication attempt","Registered Report submission date","Registered Report acceptance date","Link to Registered Report","Replication study fully completed","If Replication study incomplete, why?","Replication study submission date","Replication study acceptance date","Link to Replication study","Did original authors respond to any emails?","Did the original paper have a potential conflict of issue statement?","Did the replication study have a potential conflict of issue statement?","Number of lab(s) contracted for the entire paper","Type of contracted lab(s) for the entire paper","Notes"
"1",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1D","Yes","Yes","Yes","Yes",2,2,0,0,"NA","NA","NA","Cell-based","2.0","Core1,CRO1","1.0","PTEN and PTENP1 mRNA expression after miR-19b and miR-20a mimic expression","Yes","No","It was identified after results were obtained that the si-miR-19b adn si-miR-20a reagents listed in the Registered Report and used in the replication experiment were incorrect. The catalog numbers listed were for microRNA hairpin inhibitors not microRNA mimics.","2.0","Melting curves for PTEN and PTENP1 were inconsisent and required repeating measuring; Experiment done with inhibitors instead of mimics","3.0","Time/budget constraint prevented implementation of experiment with microRNA mimics","NA","Yes","RNA","PCR, Cell culture, Transfection/Transduction","No","No","No","No","No","Yes","Yes","Student's t test","Yes","methods state unpaired t-test, assumed to be Student's t-test","A coding-independent function of gene and pseudogene mRNAs regulates tumour biology.",2010,"Nature",6,25000,"15150.0","27845.0","70193.21","42115.0","42224.0","https://elifesciences.org/articles/08245","Partial",NA,"43689.0","43881.0","https://elifesciences.org/articles/51019","Yes","Yes","Yes","4.0","Core1,CRO1,CRO2,CRO3",NA
"2",1,2,1,1,"DU145 cell proliferation between siLuc and siPTEN","Positive","Null-positive","6.0",10,"No","NA","contrast of between-subjects ANOVA","t","17.07533","NA","8.0","1.405839E-7","contrast of between-subjects ANOVA","t","0.3848225","NA","16.0","0.7054361","No","NA","NA","NA","NA","NA","Cohen's d","15.55022","5.257552","26.05874","0.2433831","-1.009143","1.481106","6.399608","-8.310994","21.110211","0.3938532",NA,"2F","Yes","No","No","Yes",2,2,0,0,"NA","NA","NA","Cell-based","1.0","CRO1","2.0","DU145 cell proliferation after PTEN and/or PTENP1 knockdown","Yes","Yes","NA","0.0","NA","6.0","NA","1.0","No","NA","Cell culture, Transfection/Transduction, Spectrometry reading","No","No","No","No","No","Yes","No","NA","Yes",NA,"A coding-independent function of gene and pseudogene mRNAs regulates tumour biology.",2010,"Nature",6,25000,"15150.0","27845.0","70193.21","42115.0","42224.0","https://elifesciences.org/articles/08245","Partial",NA,"43689.0","43881.0","https://elifesciences.org/articles/51019","Yes","Yes","Yes","4.0","Core1,CRO1,CRO2,CRO3",NA
"3",1,2,2,1,"DU145 cell proliferation between siLuc and siPTENP1","Positive","Positive","6.0",10,"No","NA","contrast of between-subjects ANOVA","t","6.757534","NA","8.0","1.439379E-4","contrast of between-subjects ANOVA","t","2.733096","NA","16.0","0.0147371","No","NA","NA","NA","NA","NA","Cohen's d","6.153975","1.768501","10.52976","1.728561","0.1992304","3.185692","3.108865","-0.9093844","7.1271143","0.1294189",NA,"2F","Yes","No","No","Yes",2,2,0,0,"NA","NA","NA","Cell-based","1.0","CRO1","2.0","DU145 cell proliferation after PTEN and/or PTENP1 knockdown","Yes","Yes","NA","0.0","NA","6.0","NA","1.0","No","NA","Cell culture, Transfection/Transduction, Spectrometry reading","No","No","No","No","No","Yes","No","NA","Yes",NA,"A coding-independent function of gene and pseudogene mRNAs regulates tumour biology.",2010,"Nature",6,25000,"15150.0","27845.0","70193.21","42115.0","42224.0","https://elifesciences.org/articles/08245","Partial",NA,"43689.0","43881.0","https://elifesciences.org/articles/51019","Yes","Yes","Yes","4.0","Core1,CRO1,CRO2,CRO3",NA
"4",1,2,3,1,"DU145 cell proliferation between siLuc and siPTEN+siPTENP1","Positive","Positive","6.0",10,"No","NA","contrast of between-subjects ANOVA","t","25.52191","NA","8.0","5.954225E-9","contrast of between-subjects ANOVA","t","2.897103","NA","16.0","0.01050397","No","NA","NA","NA","NA","NA","Cohen's d","23.24239","7.984998","37.9749","1.832289","0.2738955","3.317114","10.16633","-10.29408","30.62675","0.3301243",NA,"2F","Yes","No","No","Yes",2,2,0,0,"NA","NA","NA","Cell-based","1.0","CRO1","2.0","DU145 cell proliferation after PTEN and/or PTENP1 knockdown","Yes","Yes","NA","0.0","NA","6.0","NA","1.0","No","NA","Cell culture, Transfection/Transduction, Spectrometry reading","No","No","No","No","No","Yes","No","NA","Yes",NA,"A coding-independent function of gene and pseudogene mRNAs regulates tumour biology.",2010,"Nature",6,25000,"15150.0","27845.0","70193.21","42115.0","42224.0","https://elifesciences.org/articles/08245","Partial",NA,"43689.0","43881.0","https://elifesciences.org/articles/51019","Yes","Yes","Yes","4.0","Core1,CRO1,CRO2,CRO3",NA
"5",1,2,4,1,"DU145 cell proliferation between siPTEN+siPTENP1 and siPTEN","Positive","Positive","6.0",10,"No","NA","contrast of between-subjects ANOVA","t","8.446582","NA","8.0","2.947534E-5","contrast of between-subjects ANOVA","t","2.51228","NA","16.0","0.02309614","No","NA","NA","NA","NA","NA","Cohen's d","7.692164","2.372797","13.04715","1.588906","0.09712672","3.010802","3.706851","-1.987401","9.401103","0.201991",NA,"2F","Yes","No","No","Yes",2,2,0,0,"NA","NA","NA","Cell-based","1.0","CRO1","2.0","DU145 cell proliferation after PTEN and/or PTENP1 knockdown","Yes","Yes","NA","0.0","NA","6.0","NA","1.0","No","NA","Cell culture, Transfection/Transduction, Spectrometry reading","No","No","No","No","No","Yes","No","NA","Yes",NA,"A coding-independent function of gene and pseudogene mRNAs regulates tumour biology.",2010,"Nature",6,25000,"15150.0","27845.0","70193.21","42115.0","42224.0","https://elifesciences.org/articles/08245","Partial",NA,"43689.0","43881.0","https://elifesciences.org/articles/51019","Yes","Yes","Yes","4.0","Core1,CRO1,CRO2,CRO3",NA
"6",1,2,5,1,"DU145 cell proliferation between siPTEN+siPTENP1 and siPTENP1","Positive","Null-positive","6.0",10,"No","NA","contrast of between-subjects ANOVA","t","18.76438","NA","8.0","6.720672E-8","contrast of between-subjects ANOVA","t","0.1640072","NA","16.0","0.8717794","No","NA","NA","NA","NA","NA","Cohen's d","17.08841","5.806536","28.61677","0.1037272","-1.140048","1.341146","6.969553","-9.366993","23.306098","0.4030613",NA,"2F","Yes","No","No","Yes",2,2,0,0,"NA","NA","NA","Cell-based","1.0","CRO1","2.0","DU145 cell proliferation after PTEN and/or PTENP1 knockdown","Yes","Yes","NA","0.0","NA","6.0","NA","1.0","No","NA","Cell culture, Transfection/Transduction, Spectrometry reading","No","No","No","No","No","Yes","No","NA","Yes",NA,"A coding-independent function of gene and pseudogene mRNAs regulates tumour biology.",2010,"Nature",6,25000,"15150.0","27845.0","70193.21","42115.0","42224.0","https://elifesciences.org/articles/08245","Partial",NA,"43689.0","43881.0","https://elifesciences.org/articles/51019","Yes","Yes","Yes","4.0","Core1,CRO1,CRO2,CRO3",NA
"7",1,3,1,1,"PTEN mRNA expression between siLuc and siPTEN","Positive","Positive","6.0",10,"Yes","Student's t test","Welch's t test","t","5.949749","NA","2.271316","0.01991732","Student's t test","t","4.625078","NA","8.0","0.001698913","No","NA","NA","NA","NA","NA","Glass' delta","3.550201","0.01023859","7.121244","2.113865","0.1901405","3.943944","2.593335","1.010448","4.176221","0.001322173","methods state unpaired t-test, assumed to be Student's t-test","2G","Yes","No","No","Yes",2,2,0,0,"NA","NA","NA","Cell-based","2.0","Core1,CRO1","3.0","PTEN and PTENP1 mRNA expression after PTEN and/or PTENP1 knockdown","Yes","Yes","NA","2.0","Melting curves for PTEN and PTENP1 were inconsisent and required repeating measuring","5.0","NA","2.0","Yes","RNA","PCR, Cell culture, Transfection/Transduction","No","No","No","No","No","Yes","Yes","Student's t test","Yes","methods state unpaired t-test, assumed to be Student's t-test","A coding-independent function of gene and pseudogene mRNAs regulates tumour biology.",2010,"Nature",6,25000,"15150.0","27845.0","70193.21","42115.0","42224.0","https://elifesciences.org/articles/08245","Partial",NA,"43689.0","43881.0","https://elifesciences.org/articles/51019","Yes","Yes","Yes","4.0","Core1,CRO1,CRO2,CRO3",NA
"8",1,3,2,1,"PTEN mRNA expression between siLuc and siPTENP1","Positive","Null-positive","6.0",10,"Yes","Student's t test","Welch's t test","t","4.069874","NA","2.470459","0.03834298","Student's t test","t","0.5771","NA","8.0","0.5797451","No","NA","NA","NA","NA","NA","Glass' delta","2.485944","-0.3100871","5.194378","0.3524805","-0.9296733","1.593941","1.221753","-0.8328711","3.276377","0.243831","methods state unpaired t-test, assumed to be Student's t-test","2G","Yes","No","No","Yes",2,2,0,0,"NA","NA","NA","Cell-based","2.0","Core1,CRO1","3.0","PTEN and PTENP1 mRNA expression after PTEN and/or PTENP1 knockdown","Yes","Yes","NA","2.0","Melting curves for PTEN and PTENP1 were inconsisent and required repeating measuring","5.0","NA","2.0","Yes","RNA","PCR, Cell culture, Transfection/Transduction","No","No","No","No","No","Yes","Yes","Student's t test","Yes","methods state unpaired t-test, assumed to be Student's t-test","A coding-independent function of gene and pseudogene mRNAs regulates tumour biology.",2010,"Nature",6,25000,"15150.0","27845.0","70193.21","42115.0","42224.0","https://elifesciences.org/articles/08245","Partial",NA,"43689.0","43881.0","https://elifesciences.org/articles/51019","Yes","Yes","Yes","4.0","Core1,CRO1,CRO2,CRO3",NA
"9",1,3,3,1,"PTEN mRNA expression between siLuc and siPTEN+siPTENP1","Positive","Positive","6.0",10,"Yes","Student's t test","Welch's t test","t","5.420708","NA","2.288098","0.02393541","Student's t test","t","4.299836","NA","8.0","0.002616336","No","NA","NA","NA","NA","NA","Glass' delta","3.240964","-0.07688066","6.554284","2.056528","0.1604913","3.857627","2.467367","0.9124256","4.0223089","0.001870537","methods state unpaired t-test, assumed to be Student's t-test","2G","Yes","No","No","Yes",2,2,0,0,"NA","NA","NA","Cell-based","2.0","Core1,CRO1","3.0","PTEN and PTENP1 mRNA expression after PTEN and/or PTENP1 knockdown","Yes","Yes","NA","2.0","Melting curves for PTEN and PTENP1 were inconsisent and required repeating measuring","5.0","NA","2.0","Yes","RNA","PCR, Cell culture, Transfection/Transduction","No","No","No","No","No","Yes","Yes","Student's t test","Yes","methods state unpaired t-test, assumed to be Student's t-test","A coding-independent function of gene and pseudogene mRNAs regulates tumour biology.",2010,"Nature",6,25000,"15150.0","27845.0","70193.21","42115.0","42224.0","https://elifesciences.org/articles/08245","Partial",NA,"43689.0","43881.0","https://elifesciences.org/articles/51019","Yes","Yes","Yes","4.0","Core1,CRO1,CRO2,CRO3",NA
"10",1,3,4,1,"PTENP1 mRNA expression between siLuc and siPTEN","Positive","Null-positive","6.0",10,"Yes","Student's t test","Student's t test","t","4.303794","NA","4.0","0.01260772","Student's t test","t","0.81783","NA","8.0","0.4371327","No","NA","NA","NA","NA","NA","Cohen's d","3.514033","0.6315354","6.298304","0.5172411","-0.7623987","1.766394","1.832263","-1.082464","4.74699","0.2179202","methods state unpaired t-test, assumed to be Student's t-test; Cohen's d is used here while the Replication study reported Glass' delta","2G","Yes","No","No","Yes",2,2,0,0,"NA","NA","NA","Cell-based","2.0","Core1,CRO1","3.0","PTEN and PTENP1 mRNA expression after PTEN and/or PTENP1 knockdown","Yes","Yes","NA","2.0","Melting curves for PTEN and PTENP1 were inconsisent and required repeating measuring","5.0","NA","2.0","Yes","RNA","PCR, Cell culture, Transfection/Transduction","No","No","No","No","No","Yes","Yes","Student's t test","Yes","methods state unpaired t-test, assumed to be Student's t-test","A coding-independent function of gene and pseudogene mRNAs regulates tumour biology.",2010,"Nature",6,25000,"15150.0","27845.0","70193.21","42115.0","42224.0","https://elifesciences.org/articles/08245","Partial",NA,"43689.0","43881.0","https://elifesciences.org/articles/51019","Yes","Yes","Yes","4.0","Core1,CRO1,CRO2,CRO3",NA
