Variable name,Description of variable,Type,dataset
Paper #,Abritary number starting at 1 for each original paper and increasing by 1 for each Paper. Same as Paper level and Experiment level.,numeric,Paper level data dictionary
Original paper title,Title of original paper.,string,Paper level data dictionary
Year,Year original paper was published.,"categorical: 2010, 2011, 2012",Paper level data dictionary
Original paper journal,Name of journal that published original paper.,"categorical: Nature, Nature Cell Biology, Nature Medicine, Nature Genetics, Cell, Cancer Cell, Science, Science Translational Medicine, PNAS, Genome Research",Paper level data dictionary
Number of original authors,Number of bibliographic authors on the original paper.,numeric,Paper level data dictionary
OSF project link,URL to project page on OSF.,string,Paper level data dictionary
Draft protocol shared with original authors date,Date the draft protocol document was emailed to corresponding original authors for feedback.,date,Paper level data dictionary
Budget per paper at project onset when originally identified by RP:CB team,Budget (in US dollars) projected per paper at onset of project.,numeric,Paper level data dictionary
Anticipated budget when Registered Report manuscript ready for submission to eLife,Budget (in US dollars) projected after sourcing replicating labs (with feedback from original authors) and Registered Report submitted for peer review.,numeric,Paper level data dictionary
Anticipated budget when Registered Report accepted and published in eLife,Budget (in US dollars) projected after peer review and acceptance of Registered Report.,numeric,Paper level data dictionary
Actual budget at completion of replication attempt,Budget (in US dollars) after completion of experimental work.,numeric,Paper level data dictionary
Registered Report submission date,Date Registered Report was submitted to eLife.,date,Paper level data dictionary
Registered Report acceptance date,Date Registered Report was accepted by eLife.,date,Paper level data dictionary
Link to Registered Report,URL to the published Registered Report.,string,Paper level data dictionary
Experimental work start date,"Earliest start date indicated by a replication lab. If no start date, then Registered Report acceptance date or quote acceptance date on Science Exchange platform.",date,Paper level data dictionary
Experimental work end date,Latest date of completing experimental data collection by a replication lab.,date,Paper level data dictionary
Replication study fully completed,"Indicates how much experimental work was completed based on what was proposed in the Registered Report. Partial indicates some, but not all, of the replication was completed with outcome level data. NA indicates a published Registered Report protocol but no experimental work started, or no published Registered Report.","categorical: Yes, No, Partial, NA",Paper level data dictionary
"If Replication study incomplete, why?",Brief written description of why replications were not completed (either in full or partially). NA indicates replication experiment was completed or not attempted.,string,Paper level data dictionary
Replication study submission date,Date Replication Study was submitted to eLife.,date,Paper level data dictionary
Replication study acceptance date,Date Replication Study was accepted by eLife.,date,Paper level data dictionary
Link to Replication study,URL to the published Replication Study.,string,Paper level data dictionary
Did original authors respond to any emails?,Indicates if the corresponding authors from the original paper replied to any emails sent from project team.,"categorical: Yes, No",Paper level data dictionary
Did the original paper have a potential conflict of issue statement?,Indicates if the original paper has a conflict of issue statement.,"categorical: Yes, No",Paper level data dictionary
Did the replication study have a potential conflict of interest statement?,Indicates if the Replication Study has a conflict of issue statement. NA indicates no published Replication Study.,"categorical: Yes, No, NA",Paper level data dictionary
Number of lab(s) contracted for the entire project,Number of labs contracted for the replication for the given paper. NA indicates no published Registered Report.,numeric,Paper level data dictionary
Contracted lab(s) for the entire paper,"Unique identifier to indicate the lab(s) contracted for the replication for the given paper. Beginning of unique identifier indicates the type of lab (Core = academic shared resource facility; CRO = contract research organization). End of unique identifier is a number between 1 and 22 for Core and 1 and 26 for CRO, which are arbitrary numbers assigned to each unique lab of each type. NA indicates there were no lab(s) contracted for the replication.",string,Paper level data dictionary
Notes,Notes about any of the variables where relevant.,string,Paper level data dictionary
Paper #,Abritary number starting at 1 for each original paper and increasing by 1 for each Paper. Same as Paper level and Experiment level.,numeric,Experiment level data dictionar
Experiment #,Abritary number starting at 1 for each unique Study # and increasing by 1 for each Experiment. Same as Experiment level.,numeric,Experiment level data dictionar
Original paper figure,Number(s) and/or letter(s) of figure(s) and/or table(s) from the original paper that report the original experimental results.,string,Experiment level data dictionar
Was experiment originally identified by RP:CB team,Indicates if the experiment from the original paper was included at the beginning of the replication design. This coincides with the first draft of the protocols shared with original author(s) for input.,"categorical: Yes, No",Experiment level data dictionar
Did experiment continue after sharing with labs (before submitting protocol to eLife),Indicates if the experiment from the original paper was included after sharing the replication design with the replication lab(s) after receiving any initial feedback from original author(s).,"categorical: Yes, No",Experiment level data dictionar
Did the experiment protocol get submitted to eLife,Indicates if the experiment from the original paper was included in the Registered Report manuscript submitted to eLife.,"categorical: Yes, No",Experiment level data dictionar
Did the experiment protocol get accepted and published in eLife,Indicates if the experiment from the original paper was included in the Registered Report manuscript accepted and published in eLife.,"categorical: Yes, No",Experiment level data dictionar
Clarifications asked of original authors,Amount of clarification about the published experimental methodology requested from original author(s). 0 = no clarification; 1 = few clarification; 2 = some clarification; 3 = moderate clarification; 4 = strong clarification; 5 = extreme clarification,"categorical: 0, 1, 2, 3, 4, 5",Experiment level data dictionar
Quality of response from original authors,Quality of response from original author(s) to the requested clarification about the published experimental methodology. 0 = not helpful/no response; 1 = minimally helpful; 2 = some helpful; 3 = moderately helpful; 4 = very helpful; 5 = extremely helpful,"categorical: 0, 1, 2, 3, 4, 5",Experiment level data dictionar
Data shared by original authors,"Data availability. 0 = no data available outside reported graphs/images in original paper; 1 = summary data statistics reported in original paper or shared by original author(s); 2 = raw data shared by original author(s); 3 = raw data available in paper, paper supplement, or repository","categorical: 0, 1, 2, 3",Experiment level data dictionar
Code shared by original authors,"Code availability. 0 = no code available outside analysis details reported in original paper; 1 = additional analysis details shared by original author(s); 2 = code shared by original author(s); 3 = code available in paper, paper supplement, or repository","categorical: 0, 1, 2, 3",Experiment level data dictionar
Key materials asked to be shared,List of key reagent materials that were requested to be shared from original author(s). NA indicates no key reagent materials were requested to be shared.,"list: Plasmids, Cells, Antibodies, Organisms, NA",Experiment level data dictionar
Key materials offered to be shared,List of key reagent materials that were offered to be shared from original author(s). No indicates key reagent materials requested to be shared were not offered or there was no response from original author(s) about the request to share key reagent materials. NA indicates no key reagent materials were requested to be shared.,"list: Plasmids, Cells, Antibodies, Organisms, No, NA",Experiment level data dictionar
Key materials shared,List of key reagent materials that were shared from original author(s). No indicates key reagent materials requested or offered to be shared were not shared or there was no response from original author(s) about the request to share key reagent materials. NA indicates no key reagent materials were requested to be shared either because there was no initial request or because there was no experimental work conducted so the offer to share was not pursued.,"list: Plasmids, Cells, Antibodies, Organisms, No, NA",Experiment level data dictionar
Type of experiment,The main type of experimental unit used for investigation.,"categorical: Animal, Cell-based, Patient Samples, Recombinant",Experiment level data dictionar
Number of lab(s) contracted for the experiment,Number of labs contracted for the replication. NA indicates no published Registered Report.,numeric,Experiment level data dictionar
Lab(s) contracted for the experiment,"Unique identifier to indicate the lab(s) contracted for the replication of the experiment. Beginning of unique identifier indicates the type of lab (Core = academic shared resource facility; CRO = contract research organization). End of unique identifier is a number between 1 and 22 for Core and 1 and 26 for CRO, which are arbitrary numbers assigned to each unique lab of each type. NA indicates there were no lab(s) contracted for the replication.",string,Experiment level data dictionar
Registered Report protocol,Protocol number(s) from the published Registered Report that correspond to the proposed experimental work to replicate the original experimental results. NA indicates no published Registered Report.,string,Experiment level data dictionar
Experiment description,Brief written description of replication experiment. NA indicates no published Registered Report.,string,Experiment level data dictionar
Replication experiment attempted,Indicates if the experimental work for the replication was started. No indicates a published Registered Report protocol but no experimental work started. NA indicates no published Registered Report.,"categorical: Yes, No, NA",Experiment level data dictionar
Replication experiment completed,"Indicates if the experimental work for the replication was completed with outcome level data. Partial indicates some, but not all, of the replication was completed with outcome level data. NA indicates a published Registered Report protocol but no experimental work started, or no published Registered Report.","categorical: Yes, Partial, No, NA",Experiment level data dictionar
"If experiment incomplete, why?",Brief written description of why replications were not completed (either in full or partially). NA indicates replication experiment was completed or not attempted.,string,Experiment level data dictionar
